court_ID,match_ID,start_dt,end_dt
7745378381681694273,1162889746492108400,2016-01-17 08:00:00,2016-01-17 10:00:00
-4921476575337232138,1162890746505108383,2016-01-17 12:00:00,2016-01-17 13:00:00
-4921476575337232141,1162890746505108382,2016-01-17 08:00:00,2016-01-17 11:00:00
-4921476575337232138,1162890746505108369,2016-01-17 08:00:00,2016-01-17 10:00:00
-4921476575337232137,1162890746505108368,2016-01-16 04:00:00,2016-01-16 06:00:00
-4921476575337232138,1162890746505108371,2016-01-16 08:00:00,2016-01-16 11:00:00
-4921476575337232137,1162890746505108370,2016-01-16 08:00:00,2016-01-16 10:00:00
-4921476575337232143,1162890746505108373,2016-01-16 08:00:00,2016-01-16 11:00:00
-4921476575337232141,1162890746505108372,2016-01-16 12:00:00,2016-01-16 14:00:00
-4921476575337232138,1162890746505108375,2016-01-16 12:00:00,2016-01-16 14:00:00
7745378381681694273,1162890746505108374,2016-01-16 04:00:00,2016-01-16 06:00:00
-4921476575337232140,1162890746506108376,2016-01-16 04:00:00,2016-01-16 06:00:00
7745378381681694273,1162890746506108377,2016-01-16 12:00:00,2016-01-16 15:00:00
-4921476575337232131,1162890746506108374,2016-01-16 08:00:00,2016-01-16 10:00:00
-4921476575337232143,1162890746506108375,2016-01-16 08:00:00,2016-01-16 10:00:00
-4921476575337232143,1162890746506108373,2016-01-16 12:00:00,2016-01-16 13:00:00
-4921476575337232132,1162890746506108370,2016-01-16 12:00:00,2016-01-16 15:00:00
-4921476575337232144,1162890746506108371,2016-01-16 08:00:00,2016-01-16 11:00:00
-4921476575337232131,1162890746506108369,2016-01-16 08:00:00,2016-01-16 10:00:00
7745378381681694273,1162890746491108405,2016-01-16 08:00:00,2016-01-16 10:00:00
-4921476575337232131,1162890746491108404,2016-01-16 08:00:00,2016-01-16 10:00:00
-4921476575337232140,1162890746491108411,2016-01-16 08:00:00,2016-01-16 10:00:00
7745378381681694273,1162890746491108410,2016-01-16 08:00:00,2016-01-16 10:00:00
-4921476575337232137,1162890746491108409,2016-01-16 08:00:00,2016-01-16 10:00:00
-4921476575337232142,1162890746491108415,2016-01-15 08:00:00,2016-01-15 11:00:00
-4921476575337232143,1162890746491108414,2016-01-15 12:00:00,2016-01-15 14:00:00
-4921476575337232143,1162890746491108413,2016-01-15 04:00:00,2016-01-15 07:00:00
9208958629934585822,2680331193279018033,2016-01-17 12:00:00,2016-01-17 14:00:00
-6483079546507952451,2680330193266017946,2016-01-17 12:00:00,2016-01-17 15:00:00
-6483079546507952460,2680330193266017947,2016-01-17 08:00:00,2016-01-17 10:00:00
-6483079546507952460,2680330193266017940,2016-01-17 08:00:00,2016-01-17 09:00:00
-6483079546507952453,2680330193266017941,2016-01-16 16:00:00,2016-01-16 18:00:00
-6483079546507952459,2680330193266017942,2016-01-16 04:00:00,2016-01-16 06:00:00
-6483079546507952453,2680330193266017943,2016-01-16 08:00:00,2016-01-16 09:00:00
9208958629934585822,2680330193266017936,2016-01-16 16:00:00,2016-01-16 18:00:00
-6483079546507952460,2680330193266017937,2016-01-16 08:00:00,2016-01-16 10:00:00
-6483079546507952460,2680330193266017938,2016-01-16 04:00:00,2016-01-16 07:00:00
-6483079546507952451,2680330193266017939,2016-01-16 08:00:00,2016-01-16 10:00:00
-6483079546507952456,2680330193265017945,2016-01-16 12:00:00,2016-01-16 13:00:00
-6483079546507952450,2680330193265017944,2016-01-16 08:00:00,2016-01-16 11:00:00
9208958629934585822,2680330193265017943,2016-01-16 08:00:00,2016-01-16 11:00:00
9208958629934585822,2680330193265017942,2016-01-16 04:00:00,2016-01-16 08:00:00
-6483079546507952451,2680330193265017940,2016-01-16 08:00:00,2016-01-16 11:00:00
-6483079546507952460,2680330193265017939,2016-01-16 04:00:00,2016-01-16 07:00:00
9208958629934585822,2680330193265017938,2016-01-16 12:00:00,2016-01-16 15:00:00
-6483079546507952456,2680330193265017936,2016-01-16 16:00:00,2016-01-16 18:00:00
-6483079546507952451,2680330193272018036,2016-01-16 08:00:00,2016-01-16 09:00:00
-6483079546507952455,2680330193272018037,2016-01-16 12:00:00,2016-01-16 14:00:00
-6483079546507952459,2680330193272018042,2016-01-16 16:00:00,2016-01-16 18:00:00
-6483079546507952451,2680330193272018043,2016-01-16 12:00:00,2016-01-16 15:00:00
-6483079546507952451,2680330193272018040,2016-01-16 04:00:00,2016-01-16 07:00:00
-6483079546507952456,2680330193272018046,2016-01-15 08:00:00,2016-01-15 12:00:00
-6483079546507952454,2680330193272018047,2016-01-15 08:00:00,2016-01-15 09:00:00
-6483079546507952449,2680330193272018044,2016-01-15 16:00:00,2016-01-15 18:00:00
7963664527309599341,6283045189200445913,2016-01-17 08:00:00,2016-01-17 11:00:00
7963664527309599328,6283044189203445890,2016-01-17 12:00:00,2016-01-17 15:00:00
7963664527309599334,6283044189203445891,2016-01-17 12:00:00,2016-01-17 13:00:00
7963664527309599335,6283044189203445900,2016-01-17 12:00:00,2016-01-17 15:00:00
7640753883324551478,6283044189203445901,2016-01-16 12:00:00,2016-01-16 16:00:00
7963664527309599335,6283044189203445902,2016-01-16 12:00:00,2016-01-16 15:00:00
7963664527309599334,6283044189203445903,2016-01-16 04:00:00,2016-01-16 05:00:00
7963664527309599334,6283044189203445896,2016-01-16 12:00:00,2016-01-16 14:00:00
7963664527309599340,6283044189203445897,2016-01-16 08:00:00,2016-01-16 11:00:00
7963664527309599331,6283044189203445898,2016-01-16 08:00:00,2016-01-16 11:00:00
7963664527309599340,6283044189203445899,2016-01-16 16:00:00,2016-01-16 18:00:00
7963664527309599340,6283044189202445889,2016-01-16 12:00:00,2016-01-16 14:00:00
7963664527309599334,6283044189202445888,2016-01-16 12:00:00,2016-01-16 14:00:00
7963664527309599329,6283044189202445903,2016-01-16 12:00:00,2016-01-16 14:00:00
7963664527309599331,6283044189202445902,2016-01-16 04:00:00,2016-01-16 06:00:00
7963664527309599329,6283044189202445901,2016-01-16 12:00:00,2016-01-16 14:00:00
7640753883324551478,6283044189202445900,2016-01-16 04:00:00,2016-01-16 07:00:00
7963664527309599330,6283044189202445899,2016-01-16 08:00:00,2016-01-16 10:00:00
7640753883324551478,6283044189202445898,2016-01-16 08:00:00,2016-01-16 10:00:00
7963664527309599330,6283044189202445897,2016-01-16 08:00:00,2016-01-16 11:00:00
7963664527309599331,6283044189202445896,2016-01-16 04:00:00,2016-01-16 07:00:00
7963664527309599329,6283044189193445932,2016-01-16 12:00:00,2016-01-16 16:00:00
7963664527309599335,6283044189193445933,2016-01-16 04:00:00,2016-01-16 07:00:00
7963664527309599331,6283044189193445922,2016-01-16 12:00:00,2016-01-16 14:00:00
7640753883324551478,6283044189193445923,2016-01-16 08:00:00,2016-01-16 10:00:00
7963664527309599340,6283044189193445920,2016-01-16 12:00:00,2016-01-16 14:00:00
7963664527309599334,6283044189193445921,2016-01-16 08:00:00,2016-01-16 12:00:00
7963664527309599334,6283044189193445926,2016-01-15 08:00:00,2016-01-15 10:00:00
7963664527309599335,6283044189193445927,2016-01-15 04:00:00,2016-01-15 05:00:00
7963664527309599341,6283044189193445924,2016-01-15 12:00:00,2016-01-15 14:00:00
7963664527309599331,6283044189193445925,2016-01-15 08:00:00,2016-01-15 09:00:00
-3363037321909345162,-3052201248830370919,2016-01-24 12:00:00,2016-01-24 15:00:00
6963658527300599335,-3052202248827370942,2016-01-24 08:00:00,2016-01-24 09:00:00
-3363037321909345162,-3052202248827370941,2016-01-24 04:00:00,2016-01-24 05:00:00
6963658527300599340,-3052202248827370932,2016-01-24 12:00:00,2016-01-24 15:00:00
6963658527300599333,-3052202248827370931,2016-01-23 12:00:00,2016-01-23 15:00:00
6963658527300599328,-3052202248827370930,2016-01-23 16:00:00,2016-01-23 19:00:00
6963658527300599335,-3052202248827370929,2016-01-23 08:00:00,2016-01-23 11:00:00
6963658527300599331,-3052202248827370936,2016-01-23 08:00:00,2016-01-23 11:00:00
6963658527300599331,-3052202248827370935,2016-01-23 12:00:00,2016-01-23 14:00:00
6963658527300599331,-3052202248827370934,2016-01-23 12:00:00,2016-01-23 13:00:00
6963658527300599341,-3052202248827370933,2016-01-23 08:00:00,2016-01-23 11:00:00
-3363037321909345162,-3052202248828370943,2016-01-23 08:00:00,2016-01-23 09:00:00
6963658527300599333,-3052202248828370944,2016-01-23 12:00:00,2016-01-23 14:00:00
6963658527300599334,-3052202248828370929,2016-01-23 08:00:00,2016-01-23 09:00:00
6963658527300599328,-3052202248828370930,2016-01-23 08:00:00,2016-01-23 10:00:00
6963658527300599333,-3052202248828370932,2016-01-23 04:00:00,2016-01-23 06:00:00
6963658527300599328,-3052202248828370933,2016-01-23 04:00:00,2016-01-23 07:00:00
6963658527300599335,-3052202248828370934,2016-01-23 08:00:00,2016-01-23 10:00:00
6963658527300599341,-3052202248828370936,2016-01-23 04:00:00,2016-01-23 05:00:00
6963658527300599329,-3052202248837370900,2016-01-23 04:00:00,2016-01-23 06:00:00
6963658527300599334,-3052202248837370899,2016-01-23 08:00:00,2016-01-23 10:00:00
6963658527300599331,-3052202248837370910,2016-01-23 12:00:00,2016-01-23 14:00:00
-3363037321909345162,-3052202248837370909,2016-01-23 08:00:00,2016-01-23 12:00:00
6963658527300599331,-3052202248837370912,2016-01-23 04:00:00,2016-01-23 06:00:00
6963658527300599334,-3052202248837370906,2016-01-22 08:00:00,2016-01-22 10:00:00
6963658527300599334,-3052202248837370905,2016-01-22 04:00:00,2016-01-22 06:00:00
-3363037321909345162,-3052202248837370908,2016-01-22 08:00:00,2016-01-22 11:00:00
-4921478575318232092,4155502336519315485,2016-01-24 12:00:00,2016-01-24 16:00:00
-4921478575318232094,4155501336506315510,2016-01-24 08:00:00,2016-01-24 10:00:00
-4921478575318232093,4155501336506315511,2016-01-24 08:00:00,2016-01-24 11:00:00
-4921478575318232092,4155501336506315512,2016-01-24 16:00:00,2016-01-24 18:00:00
-4921478575318232095,4155501336506315513,2016-01-23 12:00:00,2016-01-23 14:00:00
-4921478575318232091,4155501336506315514,2016-01-23 08:00:00,2016-01-23 10:00:00
-4921478575318232091,4155501336506315515,2016-01-23 04:00:00,2016-01-23 06:00:00
-4921478575318232095,4155501336506315516,2016-01-23 08:00:00,2016-01-23 09:00:00
-4921478575318232087,4155501336506315517,2016-01-23 12:00:00,2016-01-23 13:00:00
-4921478575318232091,4155501336506315518,2016-01-23 08:00:00,2016-01-23 10:00:00
-4921478575318232087,4155501336506315519,2016-01-23 04:00:00,2016-01-23 07:00:00
-4921478575318232088,4155501336505315509,2016-01-23 08:00:00,2016-01-23 10:00:00
-4921478575318232094,4155501336505315508,2016-01-23 04:00:00,2016-01-23 07:00:00
-4921478575318232091,4155501336505315515,2016-01-23 08:00:00,2016-01-23 11:00:00
-4921478575318232093,4155501336505315514,2016-01-23 08:00:00,2016-01-23 11:00:00
-4921478575318232090,4155501336505315512,2016-01-23 04:00:00,2016-01-23 07:00:00
-4921478575318232087,4155501336505315519,2016-01-23 12:00:00,2016-01-23 13:00:00
-4921478575318232087,4155501336505315518,2016-01-23 04:00:00,2016-01-23 07:00:00
-4921478575318232090,4155501336505315516,2016-01-23 12:00:00,2016-01-23 16:00:00
-4921478575318232091,4155501336520315480,2016-01-23 08:00:00,2016-01-23 09:00:00
-4921478575318232090,4155501336520315481,2016-01-23 08:00:00,2016-01-23 10:00:00
-4921478575318232095,4155501336520315478,2016-01-23 08:00:00,2016-01-23 10:00:00
-4921478575318232091,4155501336520315479,2016-01-23 04:00:00,2016-01-23 07:00:00
-4921478575318232095,4155501336520315476,2016-01-23 12:00:00,2016-01-23 14:00:00
-4921478575318232091,4155501336520315474,2016-01-22 08:00:00,2016-01-22 10:00:00
-4921478575318232091,4155501336520315475,2016-01-22 12:00:00,2016-01-22 13:00:00
-4921478575318232090,4155501336520315472,2016-01-22 12:00:00,2016-01-22 13:00:00
5352594078752028036,-6458796606230881547,2016-01-22 12:00:00,2016-01-22 14:00:00
5352594078752028046,-6458796606230881548,2016-01-22 12:00:00,2016-01-22 14:00:00
5352594078752028033,-6458796606230881545,2016-01-22 08:00:00,2016-01-22 11:00:00
5352594078752028033,-6458796606230881546,2016-01-22 04:00:00,2016-01-22 06:00:00
5352594078752028036,-6458796606230881551,2016-01-22 08:00:00,2016-01-22 10:00:00
5352594078752028032,-6458796606230881552,2016-01-22 12:00:00,2016-01-22 14:00:00
5352594078752028036,-6458796606230881549,2016-01-22 08:00:00,2016-01-22 11:00:00
5352594078752028034,-6458796606230881550,2016-01-22 08:00:00,2016-01-22 09:00:00
5352594078752028039,-6458796606230881539,2016-01-22 04:00:00,2016-01-22 06:00:00
-7804357741452124144,-6458796606230881540,2016-01-22 04:00:00,2016-01-22 06:00:00
5352594078752028047,-6458796606229881558,2016-01-22 08:00:00,2016-01-22 09:00:00
5352594078752028037,-6458796606229881557,2016-01-22 12:00:00,2016-01-22 14:00:00
5352594078752028036,-6458796606229881560,2016-01-22 12:00:00,2016-01-22 14:00:00
5352594078752028047,-6458796606229881559,2016-01-22 08:00:00,2016-01-22 10:00:00
5352594078752028036,-6458796606229881554,2016-01-23 12:00:00,2016-01-23 14:00:00
5352594078752028033,-6458796606229881553,2016-01-23 12:00:00,2016-01-23 13:00:00
