court_ID,court_name,surface,spectator_capacity,indoor,hawkEye,complex_ID
3894481424713277770,Brisbane10,Hard,56,0,False,-3478502756701718424
463790542611002417,Brisbane1,Hard,47,0,True,-3478502756701718424
463790542611002421,Brisbane5,Hard,45,1,False,-3478502756701718424
463790542611002424,Brisbane8,Hard,30,1,False,-3478502756701718424
463790542611002418,Brisbane2,Hard,60,1,True,-3478502756701718424
463790542611002420,Brisbane4,Hard,93,0,False,-3478502756701718424
463790542611002423,Brisbane7,Hard,91,1,False,-3478502756701718424
463790542611002425,Brisbane9,Hard,98,1,False,-3478502756701718424
463790542611002422,Brisbane6,Hard,46,1,False,-3478502756701718424
463790542611002419,Brisbane3,Hard,19,1,True,-3478502756701718424
3092338747054238599,Chennai2,Hard,33,1,True,-9208926864897365981
3092338747054238594,Chennai7,Hard,57,0,False,-9208926864897365981
3092338747054238595,Chennai6,Hard,25,1,False,-9208926864897365981
-8812213968335535599,Chennai10,Hard,43,1,False,-9208926864897365981
3092338747054238596,Chennai1,Hard,62,0,True,-9208926864897365981
3092338747054238605,Chennai8,Hard,47,1,False,-9208926864897365981
3092338747054238592,Chennai5,Hard,61,1,False,-9208926864897365981
3092338747054238593,Chennai4,Hard,50,0,False,-9208926864897365981
3092338747054238598,Chennai3,Hard,67,0,True,-9208926864897365981
3092338747054238604,Chennai9,Hard,44,0,False,-9208926864897365981
7092466747746239739,Doha6,Hard,90,1,False,5809158768629327846
7092466747746239732,Doha9,Hard,80,1,False,5809158768629327846
7092466747746239738,Doha7,Hard,32,0,False,5809158768629327846
-8370033733980358567,Doha10,Hard,37,1,False,5809158768629327846
7092466747746239736,Doha5,Hard,69,1,False,5809158768629327846
7092466747746239740,Doha1,Hard,51,1,True,5809158768629327846
7092466747746239737,Doha4,Hard,32,0,False,5809158768629327846
7092466747746239743,Doha2,Hard,45,1,True,5809158768629327846
7092466747746239733,Doha8,Hard,64,0,False,5809158768629327846
8092472747755239736,Auckland5,Hard,17,1,False,4765028300561534599
8092472747755239740,Auckland1,Hard,18,0,True,4765028300561534599
8092472747755239733,Auckland8,Hard,89,0,False,4765028300561534599
8092472747755239737,Auckland4,Hard,69,0,False,4765028300561534599
2633757471253538073,Auckland10,Hard,94,1,False,4765028300561534599
8092472747755239738,Auckland7,Hard,10,1,False,4765028300561534599
8092472747755239743,Auckland2,Hard,30,1,True,4765028300561534599
8092472747755239742,Auckland3,Hard,99,0,True,4765028300561534599
8092472747755239732,Auckland9,Hard,42,0,False,4765028300561534599
8092472747755239739,Auckland6,Hard,33,1,False,4765028300561534599
463788542600002313,Sydney8,Hard,62,1,False,-227977386794040170
463788542600002307,Sydney2,Hard,93,1,True,-227977386794040170
1894464424567277477,Sydney10,Hard,11,0,False,-227977386794040170
463788542600002308,Sydney5,Hard,46,0,False,-227977386794040170
463788542600002310,Sydney7,Hard,82,0,False,-227977386794040170
463788542600002309,Sydney4,Hard,58,0,False,-227977386794040170
463788542600002311,Sydney6,Hard,75,0,False,-227977386794040170
463788542600002306,Sydney3,Hard,83,0,True,-227977386794040170
463788542600002304,Sydney1,Hard,14,1,True,-227977386794040170
463788542600002312,Sydney9,Hard,88,1,False,-227977386794040170
-4422607656976025758,Australian Open3,Hard,65,0,True,9052791127666662055
-4422607656976025753,Australian Open6,Hard,46,1,False,9052791127666662055
-4422607656976025760,Australian Open1,Hard,75,1,True,9052791127666662055
-4422607656976025756,Australian Open5,Hard,46,1,False,9052791127666662055
-4422607656976025752,Australian Open9,Hard,99,0,False,9052791127666662055
-4422607656976025751,Australian Open8,Hard,94,0,False,9052791127666662055
-4422607656976025757,Australian Open2,Hard,82,1,True,9052791127666662055
-4422607656976025755,Australian Open4,Hard,71,1,False,9052791127666662055
-4422607656976025754,Australian Open7,Hard,98,1,False,9052791127666662055
4413616942030410305,Australian Open10,Hard,74,0,False,9052791127666662055
