match_ID,best_of,round_num,tournament_ID
-1947430082325888147,3,F,2017-M020
-1947431082338888250,3,SF,2017-M020
-1947431082338888249,3,SF,2017-M020
-1947431082338888248,3,QF,2017-M020
-1947431082338888247,3,QF,2017-M020
-1947431082338888246,3,QF,2017-M020
-1947431082338888245,3,QF,2017-M020
-1947431082338888244,3,R16,2017-M020
-1947431082338888243,3,R16,2017-M020
-1947431082338888242,3,R16,2017-M020
-1947431082338888241,3,R16,2017-M020
-1947431082339888251,3,R16,2017-M020
-1947431082339888252,3,R16,2017-M020
-1947431082339888245,3,R16,2017-M020
-1947431082339888246,3,R16,2017-M020
-1947431082339888248,3,R32,2017-M020
-1947431082339888241,3,R32,2017-M020
-1947431082339888242,3,R32,2017-M020
-1947431082339888244,3,R32,2017-M020
-1947431082324888152,3,R32,2017-M020
-1947431082324888151,3,R32,2017-M020
-1947431082324888154,3,R32,2017-M020
-1947431082324888153,3,R32,2017-M020
-1947431082324888156,3,R32,2017-M020
-1947431082324888158,3,R32,2017-M020
-1947431082324888157,3,R32,2017-M020
-1947431082324888160,3,R32,2017-M020
9046704570422527360,3,F,2017-0891
9046705570435527471,3,SF,2017-0891
9046705570435527470,3,SF,2017-0891
9046705570435527457,3,QF,2017-0891
9046705570435527456,3,QF,2017-0891
9046705570435527459,3,QF,2017-0891
9046705570435527458,3,QF,2017-0891
9046705570435527461,3,R16,2017-0891
9046705570435527460,3,R16,2017-0891
9046705570435527463,3,R16,2017-0891
9046705570435527462,3,R16,2017-0891
9046705570436527464,3,R16,2017-0891
9046705570436527465,3,R16,2017-0891
9046705570436527462,3,R16,2017-0891
9046705570436527463,3,R16,2017-0891
9046705570436527461,3,R32,2017-0891
9046705570436527458,3,R32,2017-0891
9046705570436527459,3,R32,2017-0891
9046705570436527457,3,R32,2017-0891
9046705570421527365,3,R32,2017-0891
9046705570421527364,3,R32,2017-0891
9046705570421527371,3,R32,2017-0891
9046705570421527370,3,R32,2017-0891
9046705570421527369,3,R32,2017-0891
9046705570421527375,3,R32,2017-0891
9046705570421527374,3,R32,2017-0891
9046705570421527373,3,R32,2017-0891
3705409558874271480,3,F,2017-0451
3705410558871271367,3,SF,2017-0451
3705410558871271366,3,SF,2017-0451
3705410558871271369,3,QF,2017-0451
3705410558871271368,3,QF,2017-0451
3705410558871271371,3,QF,2017-0451
3705410558871271370,3,QF,2017-0451
3705410558871271373,3,R16,2017-0451
3705410558871271372,3,R16,2017-0451
3705410558871271375,3,R16,2017-0451
3705410558871271374,3,R16,2017-0451
3705410558872271360,3,R16,2017-0451
3705410558872271361,3,R16,2017-0451
3705410558872271374,3,R16,2017-0451
3705410558872271375,3,R16,2017-0451
3705410558872271372,3,R32,2017-0451
3705410558872271373,3,R32,2017-0451
3705410558872271370,3,R32,2017-0451
3705410558872271371,3,R32,2017-0451
3705410558872271368,3,R32,2017-0451
3705410558872271369,3,R32,2017-0451
3705410558873271373,3,R32,2017-0451
3705410558873271372,3,R32,2017-0451
3705410558873271363,3,R32,2017-0451
3705410558873271362,3,R32,2017-0451
3705410558873271361,3,R32,2017-0451
3705410558873271360,3,R32,2017-0451
3705410558873271367,3,R32,2017-0451
3705410558873271366,3,R32,2017-0451
3705410558873271365,3,R32,2017-0451
3705410558873271364,3,R32,2017-0451
-5406088076804463304,3,F,2017-0301
-5406087076807463417,3,SF,2017-0301
-5406087076807463418,3,SF,2017-0301
-5406087076807463415,3,QF,2017-0301
-5406087076807463416,3,QF,2017-0301
-5406087076807463413,3,QF,2017-0301
-5406087076807463414,3,QF,2017-0301
-5406087076807463411,3,R16,2017-0301
-5406087076807463412,3,R16,2017-0301
-5406087076807463409,3,R16,2017-0301
-5406087076807463410,3,R16,2017-0301
-5406087076806463424,3,R16,2017-0301
-5406087076806463423,3,R16,2017-0301
-5406087076806463410,3,R16,2017-0301
-5406087076806463409,3,R16,2017-0301
-5406087076806463411,3,R32,2017-0301
-5406087076806463414,3,R32,2017-0301
-5406087076806463413,3,R32,2017-0301
-5406087076806463415,3,R32,2017-0301
-5406087076805463411,3,R32,2017-0301
-5406087076805463412,3,R32,2017-0301
-5406087076805463421,3,R32,2017-0301
-5406087076805463422,3,R32,2017-0301
-5406087076805463423,3,R32,2017-0301
-5406087076805463417,3,R32,2017-0301
-5406087076805463418,3,R32,2017-0301
-5406087076805463419,3,R32,2017-0301
7938332653934420804,3,F,2017-M001
7938333653931420819,3,QF,2017-M001
7938333653931420818,3,QF,2017-M001
7938333653931420829,3,QF,2017-M001
7938333653931420828,3,QF,2017-M001
7938333653931420831,3,R16,2017-M001
7938333653931420830,3,R16,2017-M001
7938333653931420825,3,R16,2017-M001
7938333653931420824,3,R16,2017-M001
7938333653931420827,3,R16,2017-M001
7938333653931420826,3,R16,2017-M001
7938333653932420828,3,R16,2017-M001
7938333653932420829,3,R16,2017-M001
7938333653932420819,3,R32,2017-M001
7938333653932420816,3,R32,2017-M001
7938333653932420817,3,R32,2017-M001
7938333653932420823,3,R32,2017-M001
7938333653932420820,3,R32,2017-M001
7938333653932420821,3,R32,2017-M001
7938333653941420913,3,R32,2017-M001
7938333653941420912,3,R32,2017-M001
7938333653941420927,3,R32,2017-M001
7938333653941420925,3,R32,2017-M001
7938333653941420924,3,R32,2017-M001
7938333653941420923,3,R32,2017-M001
7938333653941420921,3,SF,2017-M001
7938333653941420920,3,SF,2017-M001
6855573267957931930,5,R128,2017-580
6855573267957931931,5,R128,2017-580
6855573267957931928,5,R128,2017-580
6855573267957931929,5,R128,2017-580
6855573267957931934,5,R128,2017-580
6855573267957931935,5,R128,2017-580
6855573267957931932,5,R128,2017-580
6855573267957931933,5,R128,2017-580
6855573267957931922,5,R128,2017-580
6855573267957931923,5,R128,2017-580
6855573267956931941,5,R128,2017-580
6855573267956931940,5,R128,2017-580
6855573267956931943,5,R128,2017-580
6855573267956931942,5,R128,2017-580
6855573267956931937,5,R128,2017-580
6855573267956931936,5,R128,2017-580
6855573267956931939,5,R128,2017-580
6855573267956931938,5,R128,2017-580
6855573267956931949,5,R128,2017-580
6855573267956931948,5,R128,2017-580
6855573267955931936,5,R128,2017-580
6855573267955931937,5,R128,2017-580
6855573267955931938,5,R128,2017-580
6855573267955931939,5,R128,2017-580
6855573267955931940,5,R128,2017-580
6855573267955931941,5,R128,2017-580
6855573267955931942,5,R128,2017-580
6855573267955931943,5,R128,2017-580
6855573267955931944,5,R128,2017-580
6855573267955931945,5,R128,2017-580
6855573267954931939,5,R128,2017-580
6855573267954931938,5,R128,2017-580
6855573267954931937,5,R128,2017-580
6855573267954931936,5,R128,2017-580
6855573267954931943,5,R128,2017-580
6855573267954931942,5,R128,2017-580
6855573267954931941,5,R128,2017-580
6855573267954931940,5,R128,2017-580
