player_ID,name,country,dob,gender,height,ranking_points,weight
105683,Milos Raonic,CAN,1991-01-01 00:00:00,m,196,2170,92.1984
103819,Roger Federer,SUI,1981-01-01 00:06:00,m,185,8265,82.14
106233,Dominic Thiem,AUT,1993-01-01 00:07:00,m,,1600,
106071,Bernard Tomic,AUS,1992-01-01 00:08:00,m,193,1675,89.3976
105777,Grigor Dimitrov,BUL,1991-01-01 00:04:00,m,188,1360,84.8256
105227,Marin Cilic,CRO,1988-01-01 00:07:00,m,198,2405,94.0896
106298,Lucas Pouille,FRA,1994-01-01 00:01:00,m,,672,
105453,Kei Nishikori,JPN,1990-01-01 00:00:00,m,178,4235,76.0416
104735,Tobias Kamke,GER,1986-01-01 00:04:00,m,180,185,77.76
104678,Viktor Troicki,SRB,1986-01-01 00:01:00,m,193,1487,89.3976
111202,Hyeon Chung,KOR,1996-01-01 00:04:00,m,,817,
106045,Denis Kudla,USA,1992-01-01 00:06:00,m,180,719,77.76
105676,David Goffin,BEL,1990-01-01 00:09:00,m,163,1880,63.7656
104471,Ivan Dodig,CRO,1985-01-01 00:00:00,m,183,636,80.3736
103285,Radek Stepanek,CZE,1978-01-01 00:09:00,m,185,252,82.14
105062,Mikhail Kukushkin,KAZ,1988-01-01 00:00:00,m,183,762,80.3736
104527,Stanislas Wawrinka,SUI,1985-01-01 00:02:00,m,183,6865,80.3736
106432,Borna Coric,CRO,1996-01-01 00:09:00,m,,941,
105332,Benoit Paire,FRA,1989-01-01 00:03:00,m,196,1633,92.1984
105379,Aljaz Bedene,GBR,1989-01-01 00:05:00,m,181,939,78.6264
104198,Guillermo Garcia Lopez,ESP,1983-01-01 00:04:00,m,188,1430,84.8256
105341,Thomas Fabbiano,ITA,1989-01-01 00:04:00,m,,362,
105138,Roberto Bautista Agut,ESP,1988-01-01 00:03:00,m,,1480,
106368,Ramkumar Ramanathan,IND,1994-01-01 00:08:00,m,,209,
126094,Andrey Rublev,RUS,1997-01-01 00:08:00,m,,270,
105302,Ante Pavic,CRO,1989-01-01 00:02:00,m,,90,
104586,Lukas Rosol,CZE,1985-01-01 00:06:00,m,196,797,92.1984
104180,Gilles Muller,LUX,1983-01-01 00:03:00,m,193,1105,89.3976
105572,Austin Krajicek,USA,1990-01-01 00:04:00,m,,559,
105357,John Millman,AUS,1989-01-01 00:04:00,m,183,611,80.3736
104563,Luca Vanni,ITA,1985-01-01 00:04:00,m,,552,
104925,Novak Djokovic,SRB,1987-01-01 00:04:00,m,188,16585,84.8256
104745,Rafael Nadal,ESP,1986-01-01 00:04:00,m,185,5230,82.14
104607,Tomas Berdych,CZE,1985-01-01 00:07:00,m,196,4620,92.1984
105011,Illya Marchenko,UKR,1987-01-01 00:07:00,m,185,605,82.14
104919,Leonardo Mayer,ARG,1987-01-01 00:04:00,m,188,1150,84.8256
106378,Kyle Edmund,GBR,1995-01-01 00:00:00,m,,568,
104871,Jeremy Chardy,FRA,1987-01-01 00:01:00,m,188,1255,84.8256
105723,Andrey Kuznetsov,RUS,1991-01-01 00:01:00,m,185,663,82.14
104269,Fernando Verdasco,ESP,1983-01-01 00:09:00,m,188,900,84.8256
104665,Pablo Andujar,ESP,1986-01-01 00:01:00,m,180,770,77.76
106000,Damir Dzumhur,BIH,1992-01-01 00:04:00,m,172,649,71.0016
103926,Daniel Munoz De La Nava,ESP,1982-01-01 00:01:00,m,,681,
103908,Paul Henri Mathieu,FRA,1982-01-01 00:00:00,m,185,604,82.14
104559,Teymuraz Gabashvili,RUS,1985-01-01 00:04:00,m,188,863,84.8256
105575,Ricardas Berankis,LTU,1990-01-01 00:05:00,m,175,641,73.5
104898,Robin Haase,NED,1987-01-01 00:03:00,m,190,740,86.64
106058,Jack Sock,USA,1992-01-01 00:07:00,m,185,1465,82.14
103970,David Ferrer,ESP,1982-01-01 00:02:00,m,175,4055,73.5
104542,Jo Wilfried Tsonga,FRA,1985-01-01 00:03:00,m,188,2635,84.8256
104731,Kevin Anderson,RSA,1986-01-01 00:03:00,m,203,2475,98.9016
104545,John Isner,USA,1985-01-01 00:03:00,m,206,2495,101.8464
104926,Fabio Fognini,ITA,1987-01-01 00:04:00,m,178,1515,76.0416
105881,Matthew Barton,AUS,1991-01-01 00:09:00,m,,167,
105577,Vasek Pospisil,CAN,1990-01-01 00:04:00,m,193,1075,89.3976
105385,Donald Young,USA,1989-01-01 00:05:00,m,183,907,80.3736
105023,Sam Querrey,USA,1987-01-01 00:07:00,m,198,785,94.0896
105217,Thiemo De Bakker,NED,1988-01-01 00:07:00,m,193,582,89.3976
104259,Philipp Kohlschreiber,GER,1983-01-01 00:08:00,m,178,1185,76.0416
103917,Nicolas Mahut,FRA,1982-01-01 00:00:00,m,190,710,86.64
105238,Alexandr Dolgopolov,UKR,1988-01-01 00:08:00,m,180,1135,77.76
111442,Jordan Thompson,AUS,1994-01-01 00:03:00,m,,402,
105643,Federico Delbonis,ARG,1990-01-01 00:07:00,m,190,815,86.64
103990,Tommy Robredo,ESP,1982-01-01 00:03:00,m,180,1000,77.76
104312,Andreas Seppi,ITA,1984-01-01 00:01:00,m,190,1270,86.64
105512,Alexander Sarkissian,USA,1990-01-01 00:02:00,m,,260,
104655,Pablo Cuevas,URU,1986-01-01 00:00:00,m,180,1065,77.76
105902,James Duckworth,AUS,1992-01-01 00:00:00,m,183,447,80.3736
111460,Quentin Halys,FRA,1996-01-01 00:08:00,m,,274,
105952,Renzo Olivo,ARG,1992-01-01 00:02:00,m,,296,
105539,Evgeny Donskoy,RUS,1990-01-01 00:03:00,m,185,620,82.14
