match_ID,best_of,round_num,tournament_ID
674111853,3,F,2017-M020
661111750,3,SF,2017-M020
661111751,3,SF,2017-M020
661111752,3,QF,2017-M020
661111753,3,QF,2017-M020
661111754,3,QF,2017-M020
661111755,3,QF,2017-M020
661111756,3,R16,2017-M020
661111757,3,R16,2017-M020
661111758,3,R16,2017-M020
661111759,3,R16,2017-M020
660111749,3,R16,2017-M020
660111748,3,R16,2017-M020
660111755,3,R16,2017-M020
660111754,3,R16,2017-M020
660111752,3,R32,2017-M020
660111759,3,R32,2017-M020
660111758,3,R32,2017-M020
660111756,3,R32,2017-M020
675111848,3,R32,2017-M020
675111849,3,R32,2017-M020
675111846,3,R32,2017-M020
675111847,3,R32,2017-M020
675111844,3,R32,2017-M020
675111842,3,R32,2017-M020
675111843,3,R32,2017-M020
675111840,3,R32,2017-M020
422527360,3,F,2017-0891
435527471,3,SF,2017-0891
435527470,3,SF,2017-0891
435527457,3,QF,2017-0891
435527456,3,QF,2017-0891
435527459,3,QF,2017-0891
435527458,3,QF,2017-0891
435527461,3,R16,2017-0891
435527460,3,R16,2017-0891
435527463,3,R16,2017-0891
435527462,3,R16,2017-0891
436527464,3,R16,2017-0891
436527465,3,R16,2017-0891
436527462,3,R16,2017-0891
436527463,3,R16,2017-0891
436527461,3,R32,2017-0891
436527458,3,R32,2017-0891
436527459,3,R32,2017-0891
436527457,3,R32,2017-0891
421527365,3,R32,2017-0891
421527364,3,R32,2017-0891
421527371,3,R32,2017-0891
421527370,3,R32,2017-0891
421527369,3,R32,2017-0891
421527375,3,R32,2017-0891
421527374,3,R32,2017-0891
421527373,3,R32,2017-0891
874271480,3,F,2017-0451
871271367,3,SF,2017-0451
871271366,3,SF,2017-0451
871271369,3,QF,2017-0451
871271368,3,QF,2017-0451
871271371,3,QF,2017-0451
871271370,3,QF,2017-0451
871271373,3,R16,2017-0451
871271372,3,R16,2017-0451
871271375,3,R16,2017-0451
871271374,3,R16,2017-0451
872271360,3,R16,2017-0451
872271361,3,R16,2017-0451
872271374,3,R16,2017-0451
872271375,3,R16,2017-0451
872271372,3,R32,2017-0451
872271373,3,R32,2017-0451
872271370,3,R32,2017-0451
872271371,3,R32,2017-0451
872271368,3,R32,2017-0451
872271369,3,R32,2017-0451
873271373,3,R32,2017-0451
873271372,3,R32,2017-0451
873271363,3,R32,2017-0451
873271362,3,R32,2017-0451
873271361,3,R32,2017-0451
873271360,3,R32,2017-0451
873271367,3,R32,2017-0451
873271366,3,R32,2017-0451
873271365,3,R32,2017-0451
873271364,3,R32,2017-0451
195536696,3,F,2017-0301
192536583,3,SF,2017-0301
192536582,3,SF,2017-0301
192536585,3,QF,2017-0301
192536584,3,QF,2017-0301
192536587,3,QF,2017-0301
192536586,3,QF,2017-0301
192536589,3,R16,2017-0301
192536588,3,R16,2017-0301
192536591,3,R16,2017-0301
192536590,3,R16,2017-0301
193536576,3,R16,2017-0301
193536577,3,R16,2017-0301
193536590,3,R16,2017-0301
193536591,3,R16,2017-0301
193536589,3,R32,2017-0301
193536586,3,R32,2017-0301
193536587,3,R32,2017-0301
193536585,3,R32,2017-0301
194536589,3,R32,2017-0301
194536588,3,R32,2017-0301
194536579,3,R32,2017-0301
194536578,3,R32,2017-0301
194536577,3,R32,2017-0301
194536583,3,R32,2017-0301
194536582,3,R32,2017-0301
194536581,3,R32,2017-0301
934420804,3,F,2017-M001
931420819,3,QF,2017-M001
931420818,3,QF,2017-M001
931420829,3,QF,2017-M001
931420828,3,QF,2017-M001
931420831,3,R16,2017-M001
931420830,3,R16,2017-M001
931420825,3,R16,2017-M001
931420824,3,R16,2017-M001
931420827,3,R16,2017-M001
931420826,3,R16,2017-M001
932420828,3,R16,2017-M001
932420829,3,R16,2017-M001
932420819,3,R32,2017-M001
932420816,3,R32,2017-M001
932420817,3,R32,2017-M001
932420823,3,R32,2017-M001
932420820,3,R32,2017-M001
932420821,3,R32,2017-M001
941420913,3,R32,2017-M001
941420912,3,R32,2017-M001
941420927,3,R32,2017-M001
941420925,3,R32,2017-M001
941420924,3,R32,2017-M001
941420923,3,R32,2017-M001
941420921,3,SF,2017-M001
941420920,3,SF,2017-M001
957931930,5,R128,2017-580
957931931,5,R128,2017-580
957931928,5,R128,2017-580
957931929,5,R128,2017-580
957931934,5,R128,2017-580
957931935,5,R128,2017-580
957931932,5,R128,2017-580
957931933,5,R128,2017-580
957931922,5,R128,2017-580
957931923,5,R128,2017-580
956931941,5,R128,2017-580
956931940,5,R128,2017-580
956931943,5,R128,2017-580
956931942,5,R128,2017-580
956931937,5,R128,2017-580
956931936,5,R128,2017-580
956931939,5,R128,2017-580
956931938,5,R128,2017-580
956931949,5,R128,2017-580
956931948,5,R128,2017-580
955931936,5,R128,2017-580
955931937,5,R128,2017-580
955931938,5,R128,2017-580
955931939,5,R128,2017-580
955931940,5,R128,2017-580
955931941,5,R128,2017-580
955931942,5,R128,2017-580
955931943,5,R128,2017-580
955931944,5,R128,2017-580
955931945,5,R128,2017-580
954931939,5,R128,2017-580
954931938,5,R128,2017-580
954931937,5,R128,2017-580
954931936,5,R128,2017-580
954931943,5,R128,2017-580
954931942,5,R128,2017-580
954931941,5,R128,2017-580
954931940,5,R128,2017-580
954931947,5,R128,2017-580
954931946,5,R128,2017-580
961931926,5,R128,2017-580
961931927,5,R128,2017-580
961931924,5,R128,2017-580
961931925,5,R128,2017-580
961931922,5,R128,2017-580
961931923,5,R128,2017-580
961931920,5,R128,2017-580
961931921,5,R128,2017-580
961931934,5,R128,2017-580
961931935,5,R128,2017-580
960931921,5,R128,2017-580
960931920,5,R128,2017-580
960931923,5,R128,2017-580
960931922,5,R128,2017-580
960931925,5,R128,2017-580
960931924,5,R128,2017-580
960931927,5,R128,2017-580
960931926,5,R128,2017-580
960931929,5,R128,2017-580
960931928,5,R128,2017-580
959931932,5,R128,2017-580
959931933,5,R128,2017-580
959931934,5,R128,2017-580
959931935,5,R128,2017-580
959931928,5,R64,2017-580
959931929,5,R64,2017-580
959931930,5,R64,2017-580
959931931,5,R64,2017-580
959931924,5,R64,2017-580
959931925,5,R64,2017-580
958931935,5,R64,2017-580
958931934,5,R64,2017-580
958931933,5,R64,2017-580
958931932,5,R64,2017-580
958931931,5,R64,2017-580
958931930,5,R64,2017-580
958931929,5,R64,2017-580
958931928,5,R64,2017-580
958931927,5,R64,2017-580
958931926,5,R64,2017-580
