court_ID,court_name,surface,spectator_capacity,indoor,hawkEye,complex_ID
1,,,44527,0,,0
2,,,3037,1,,0
3,,,5172,0,,0
4,,,25103,0,,0
5,,,39113,0,,0
6,,,49810,1,,1
8,,,36936,1,,1
7,,,13705,1,,1
9,,,10257,0,,1
10,,,6623,1,,1
11,,,29539,0,,2
12,,,8591,1,,2
13,,,48557,0,,2
14,,,48262,0,,2
15,,,40385,1,,2
16,,,20909,0,,3
17,,,35301,0,,3
18,,,6011,1,,3
19,,,35819,0,,3
20,,,11447,0,,3
21,,,43677,1,,4
22,,,16773,1,,4
23,,,39399,0,,4
24,,,25870,1,,4
25,,,20313,1,,4
26,,,40331,0,,5
27,,,45031,1,,5
28,,,27624,1,,5
29,,,26188,1,,5
30,,,15034,1,,5
31,,,16458,0,,5
32,,,18431,1,,5
33,,,41216,1,,5
34,,,1119,1,,5
35,,,29595,1,,5
